countryID,CountryNameMap,CountryNameMN,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990
4,Afghanistan,Afghanistan,7,9,19,3,14,13,8,10,6,5,8,11,9,5,6,7,8,25,28,22,16
8,Albania,Albania,13,12,5,4,10,12,7,3,4,1,11,4,7,,,,,,,,
12,Algeria,Algeria,4,20,14,7,7,6,3,11,15,8,11,8,5,,,,,,,,
16,American Samoa,American Samoa,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,
24,Angola,Angola,D,0,D,D,D,D,0,0,0,3,,,,,,,,,,,
660,Anguilla,Anguilla,0,0,0,0,0,0,0,0,0,2,2,,2,,,,,,,,
28,Antigua and Barbuda,Antigua0Barbados,0,D,3,D,5,6,D,D,1,17,23,19,9,6,12,10,12,6,14,13,16
32,Argentina,Argentina,13,39,40,32,34,46,26,25,28,,,,,6,12,10,12,6,14,13,16
51,Armenia,Armenia,D,D,5,4,12,D,7,5,2,4,2,2,,,,,,,,,
533,Aruba,Aruba,3,,,,,,,,,,,,,,,,,,,,
36,Australia,Australia,36,0,38,32,33,60,31,29,33,43,29,14,20,20,35,14,29,40,34,24,17
40,Austria,Austria,3,,3,D,9,5,3,4,8,6,9,3,,6,7,13,5,6,8,8,7
31,Azerbaijan,Azerbaijan,7,,8,5,12,4,17,4,13,8,12,6,,,,,,,,,
44,Bahamas,Bahamas The,0,,D,D,3,6,3,D,5,,4,3,5,,,,,,,,
48,Bahrain,Bahrain,0,,D,0,D,0,D,D,2,4,0,2,,,,,,,,,
50,Bangladesh,Bangladesh,54,,64,52,66,97,79,43,64,59,31,26,21,34,29,7,21,7,10,6,13
52,Barbados,Barbados,D,0,4,D,0,D,D,D,4,2,1,0,1,,,,,,,,
112,Belarus,Belarus,93,42,74,102,164,158,61,48,107,112,69,39,31,99,120,99,118,210,29,0,0
56,Belgium,Belgium,6,6,D,11,8,9,4,11,15,3,1,6,5,5,43,3,9,9,18,9,15
84,Belize,Belize,0,4,D,D,6,3,D,D,1,7,5,2,1,,,,,,,,
204,Benin,Benin,7,4,7,5,7,7,4,D,3,,2,2,4,,,,,,,,
60,Bermuda,Bermuda,0,3,0,0,0,0,0,0,0,,3,1,,,,,,,,,
